Source,Date,File Name,Problem / Context,Link,Folder,Downloaded
Discourse,2025-07-30,STEP.stp,STEP export/import strange behavior,https://discourse.mcneel.com/t/step-export-import-strange-behavior/207799,,Pending (run download_discourse_step.ps1)
Discourse,2025-07-21,tutorial.step,STEP attributes question,https://discourse.mcneel.com/t/step-attributes/207385,,Pending (run download_discourse_step.ps1)
Discourse,2025-07-19,tutorial.step,STEP in Rhino 8 question,https://discourse.mcneel.com/t/step-in-rhino8/207332,,Pending (run download_discourse_step.ps1)
Discourse,2025-07-16,brep.step,Exported STEP is empty,https://discourse.mcneel.com/t/exported-step-is-empty/207223,,Pending (run download_discourse_step.ps1)
Discourse,2025-07-04,cylinder solid ap242.stp,How to export NURBS as primitive surface,https://discourse.mcneel.com/t/how-to-export-nurbs-as-primitive-surface/206575,,Pending (run download_discourse_step.ps1)
Discourse,2025-06-30,test_file.stp,STEP file exported with incomplete coordinates,https://discourse.mcneel.com/t/step-file-exported-with-incomplete-coordinates/206590,,Pending (run download_discourse_step.ps1)
Discourse,2025-06-24,ring-crease.stp,Beta FilletSrf improvements sample,https://discourse.mcneel.com/t/rhino-beta-feature-filletsrf-improvements/205956,,Pending (run download_discourse_step.ps1)
Discourse,2025-06-24,radius-curve.stp,Beta FilletSrf improvements sample,https://discourse.mcneel.com/t/rhino-beta-feature-filletsrf-improvements/205956,,Pending (run download_discourse_step.ps1)
Discourse,2025-06-24,ring_proe.stp,Beta FilletSrf improvements sample (Pro/E origin),https://discourse.mcneel.com/t/rhino-beta-feature-filletsrf-improvements/205956,,Pending (run download_discourse_step.ps1)
Discourse,2025-06-16,150a8cca-a387-3511-b241-a0f1cccd44aa (1).stp,Transparency missing when importing STEP file,https://discourse.mcneel.com/t/transparency-missing-when-importing-step-file-in-rhino/205924,,Pending (run download_discourse_step.ps1)
Discourse,2025-06-15,8WO-1100020-00_only_model_example.stp,How to display solid section edges instead of dashed lines,https://discourse.mcneel.com/t/how-to-display-solid-section-edges-instead-of-dashed-lines-in-views/205923,,Pending (run download_discourse_step.ps1)
Discourse,2025-06-06,REY1936-100.STEP,Converting STEP to RFA with the right model,https://discourse.mcneel.com/t/converting-step-to-rfa-with-the-right-model/205549,,Pending (run download_discourse_step.ps1)
Discourse,2025-05-16,test.stp,Export mesh as STL file sample,https://discourse.mcneel.com/t/export-mesh-as-stl-file/178061,,Pending (run download_discourse_step.ps1)
Discourse,2025-04-23,FLG-240712.stp,Flat pattern for sheet metal,https://discourse.mcneel.com/t/flat-pattern-for-sheet-metal/203482,,Pending (run download_discourse_step.ps1)
Discourse,2025-04-13,erroneous_fillet_during_step_import.step,Erroneous fillet during STEP file import,https://discourse.mcneel.com/t/erroneous-fillet-during-step-file-import/202978,,Pending (run download_discourse_step.ps1)
Discourse,2025-03-19,Cylinder 1.STEP,Export STEP with metadata,https://discourse.mcneel.com/t/export-step-with-metadata/199361,,Pending (run download_discourse_step.ps1)
Discourse,2025-03-18,model1.stp,MultiSidePatch command sample,https://discourse.mcneel.com/t/multisidepatch-command/199081,,Pending (run download_discourse_step.ps1)
Discourse,2025-03-12,92865A544_NO THREADS_Medium-Strength Grade 5 Steel Hex Head Screw (1).STEP,PDF printing technical mode missing and false objects,https://discourse.mcneel.com/t/pdf-printing-technical-mode-missing-and-false-objects/200831,,Pending (run download_discourse_step.ps1)
Discourse,2025-03-05,join.stp,Boolean with pipes,https://discourse.mcneel.com/t/boolean-with-pipes/200748,,Pending (run download_discourse_step.ps1)
Discourse,2025-03-04,Goggles_3dm.stp,Help with ski goggle build,https://discourse.mcneel.com/t/help-with-ski-goggle-build/200731,,Pending (run download_discourse_step.ps1)
Discourse,2025-02-28,surf-fill.stp,Beta Patch re-implemented sample,https://discourse.mcneel.com/t/rhino-beta-feature-patch-re-implemented/198660,,Pending (run download_discourse_step.ps1)
Discourse,2025-02-20,Guitar Body 2.step,Newbie thickening a guitar body,https://discourse.mcneel.com/t/total-newbie-here-who-needs-to-thicken-a-guitar-body-please-help/199984,,Pending (run download_discourse_step.ps1)
Discourse,2025-02-20,Guitar Body 1.step,Newbie thickening a guitar body,https://discourse.mcneel.com/t/total-newbie-here-who-needs-to-thicken-a-guitar-body-please-help/199984,,Pending (run download_discourse_step.ps1)
Discourse,2025-02-19,conic.stp,FilletEdge command problem sample,https://discourse.mcneel.com/t/i-did-a-test-in-rhino-with-the-fillet-edge-command-but-there-is-a-proble/199874,,Pending (run download_discourse_step.ps1)
Discourse,2025-02-19,testnew.stp,FilletEdge command problem sample,https://discourse.mcneel.com/t/i-did-a-test-in-rhino-with-the-fillet-edge-command-but-there-is-a-proble/199874,,Pending (run download_discourse_step.ps1)
Discourse,2025-02-16,UNO R4 MINIMA.step,Convert a step model/block instance to one polysurface,https://discourse.mcneel.com/t/convert-a-step-model-block-instance-to-a-one-polysurface/199705,,Pending (run download_discourse_step.ps1)
Discourse,2025-02-11,12800-COR-EYEBOLTS-ENG-P20-23SEP24-YBA.stp,Rhino 8 STEP translator text not correct,https://discourse.mcneel.com/t/rhino-8-step-translator-text-not-correct/199367,,Pending (run download_discourse_step.ps1)
Discourse,2025-01-21,J.01 Upper Carcase Vertical LED Profile 17 x 8.STEP,STEP import with wrong names,https://discourse.mcneel.com/t/step-import-with-wrong-names/198151,,Pending (run download_discourse_step.ps1)
Discourse,2025-01-14,test.stp,STP import results in bad object (bug),https://discourse.mcneel.com/t/stp-import-results-in-bad-object-bug/196476,,Pending (run download_discourse_step.ps1)
Discourse,2025-01-09,Ricon_100x40_EA.stp,Exported SketchUp .skp file is empty,https://discourse.mcneel.com/t/exported-sketchup-skp-file-is-empty/197526,,Pending (run download_discourse_step.ps1)
Discourse,2024-12-12,2024-12-12_NotAsSTP.stp,STP import results in bad object (bug),https://discourse.mcneel.com/t/stp-import-results-in-bad-object-bug/196476,,Pending (run download_discourse_step.ps1)
Discourse,2024-11-21,Manual Copper Busbar Bender for Transformer Coil Production.stp,Export to STEP AP242 discussion,https://discourse.mcneel.com/t/export-to-step-ap-242/86313,,Pending (run download_discourse_step.ps1)
Discourse,2024-11-12,model1_2e5.stp,Working with NX STEP files,https://discourse.mcneel.com/t/working-with-nx-step-files/139321,,Pending (run download_discourse_step.ps1)
Discourse,2024-11-12,model1_0254.stp,Working with NX STEP files,https://discourse.mcneel.com/t/working-with-nx-step-files/139321,,Pending (run download_discourse_step.ps1)
Discourse,2024-11-12,model1_001.stp,Working with NX STEP files,https://discourse.mcneel.com/t/working-with-nx-step-files/139321,,Pending (run download_discourse_step.ps1)
Discourse,2024-11-12,model1_01.stp,Working with NX STEP files,https://discourse.mcneel.com/t/working-with-nx-step-files/139321,,Pending (run download_discourse_step.ps1)
Discourse,2024-11-11,Fillet_and_STEP_export_in_NX.stp,Working with NX STEP files,https://discourse.mcneel.com/t/working-with-nx-step-files/139321,,Pending (run download_discourse_step.ps1)
Discourse,2024-11-04,MatryxBrakeLever_v2_molds v153.step,Creating a compression mold from .step or .stl,https://discourse.mcneel.com/t/creating-a-compression-mold-from-step-or-stl-file/194279,,Pending (run download_discourse_step.ps1)
Discourse,2024-11-04,Holbrook model.STEP,Creating a compression mold from .step or .stl,https://discourse.mcneel.com/t/creating-a-compression-mold-from-step-or-stl-file/194279,,Pending (run download_discourse_step.ps1)
Discourse,2024-10-09,Non-Planer 01 v0.step,How to split a surface using multiple curves,https://discourse.mcneel.com/t/how-to-split-a-surface-using-multiple-curves/192675,,Pending (run download_discourse_step.ps1)
Discourse,2024-10-05,unione cubetti v1.step,Failed Boolean union,https://discourse.mcneel.com/t/failed-boolean-union/192405,,Pending (run download_discourse_step.ps1)
Discourse,2024-10-04,shell-1experiemntValidate.stp,Make honeycomb solid from surface,https://discourse.mcneel.com/t/make-honeycomb-solid-from-surface/192226,,Pending (run download_discourse_step.ps1)
Discourse,2024-09-30,STEP.stp,What does 3mf do to a surface,https://discourse.mcneel.com/t/what-does-new-kid-3mf-do-to-a-surface/192119,,Pending (run download_discourse_step.ps1)
Discourse,2024-09-17,My block name.stp,Importing STEP files to Rhino creates a new block (RH-68343),https://discourse.mcneel.com/t/importing-step-files-to-rhino-creates-a-new-block/141298,,Pending (run download_discourse_step.ps1)
Discourse,2024-09-12,8 Hubbard Park_Wreath Rail.stp,Using Sweep2 to generate accurate files,https://discourse.mcneel.com/t/using-sweep2-to-generate-accurate-files/191108,,Pending (run download_discourse_step.ps1)
Discourse,2024-09-10,_V02-QUAD-00000-ASSY 242-ED2__FUSION_TO_STEP_RHINO.step,STEP/STP export with groups and blocks,https://discourse.mcneel.com/t/re-step-stp-export-with-groups-and-blocks/190517,,Pending (run download_discourse_step.ps1)
Discourse,2024-09-10,_V02-QUAD-00000-ASSY 242-ED2.stp,STEP/STP export with groups and blocks,https://discourse.mcneel.com/t/re-step-stp-export-with-groups-and-blocks/190517,,Pending (run download_discourse_step.ps1)
Discourse,2024-09-03,screws_v8_extruded.stp,Mirrored blocks STP export bug,https://discourse.mcneel.com/t/mirrored-blocks-stp-export-bug/189649,,Pending (run download_discourse_step.ps1)
Discourse,2024-08-31,tool.stp,Problem opening Grasshopper file,https://discourse.mcneel.com/t/problem-opening-grasshopper-file/190460,,Pending (run download_discourse_step.ps1)
Discourse,2024-08-31,carbody.stp,STEP/STP export with groups and blocks / CATIA data exchange,https://discourse.mcneel.com/t/step-stp-export-with-groups-and-blocks-extra-catia-data-exchange/190385,,Pending (run download_discourse_step.ps1)
Discourse,2024-08-20,Front Fuse cover.STEP,Boolean difference,https://discourse.mcneel.com/t/boolean-difference/189750,,Pending (run download_discourse_step.ps1)
Discourse,2024-08-20,Fuse.STEP,Boolean difference,https://discourse.mcneel.com/t/boolean-difference/189750,,Pending (run download_discourse_step.ps1)
Discourse,2024-08-14,tower.stp,Why are fillets so bad,https://discourse.mcneel.com/t/why-are-fillets-so-bad/184006,,Pending (run download_discourse_step.ps1)
Discourse,2024-08-01,exportFromInventor.stp,Importing STEP files to Rhino creates a new block (RH-68343),https://discourse.mcneel.com/t/importing-step-files-to-rhino-creates-a-new-block/141298,,Pending (run download_discourse_step.ps1)
Discourse,2024-07-31,Circle.step,Importing STEP files to Rhino creates a new block (RH-68343),https://discourse.mcneel.com/t/importing-step-files-to-rhino-creates-a-new-block/141298,,Pending (run download_discourse_step.ps1)
Discourse,2024-07-31,exportFromSolidworks.STEP,Importing STEP files to Rhino creates a new block (RH-68343),https://discourse.mcneel.com/t/importing-step-files-to-rhino-creates-a-new-block/141298,,Pending (run download_discourse_step.ps1)
Discourse,2024-07-30,green-body.stp,Solids will not split,https://discourse.mcneel.com/t/solids-will-not-split/188800,,Pending (run download_discourse_step.ps1)
Discourse,2024-07-26,shape.stp,Lack of persistent 3d dimension tool,https://discourse.mcneel.com/t/lack-of-persistent-3d-dimension-tool/187782,,Pending (run download_discourse_step.ps1)
Discourse,2024-07-19,diamond.stp,Strange fillet edge behaviour,https://discourse.mcneel.com/t/strange-fillet-edge-behaviour/188279,,Pending (run download_discourse_step.ps1)
Discourse,2024-07-16,2433_MOD_240716_Support Jauge Z v1.step,Rhino's appalling fillets,https://discourse.mcneel.com/t/rhinos-appalling-fillets/188008,,Pending (run download_discourse_step.ps1)
Discourse,2024-07-09,845CAM.stp,Importing a .stp results in massive files,https://discourse.mcneel.com/t/importing-a-stp-results-in-massive-files/187755,,Pending (run download_discourse_step.ps1)
Discourse,2024-06-28,model1.stp,Why are fillets so bad (procedural geometry),https://discourse.mcneel.com/t/re-why-are-fillets-so-bad-procedural-geometry/185409,,Pending (run download_discourse_step.ps1)
Discourse,2024-06-26,Cones.STEP,Why are fillets so bad,https://discourse.mcneel.com/t/why-are-fillets-so-bad/184006,,Pending (run download_discourse_step.ps1)
Discourse,2024-06-25,model1_1.stp,Why are fillets so bad,https://discourse.mcneel.com/t/why-are-fillets-so-bad/184006,,Pending (run download_discourse_step.ps1)
Discourse,2024-06-25,cone fusion.step,Why are fillets so bad (Fusion cone),https://discourse.mcneel.com/t/why-are-fillets-so-bad/184006,,Pending (run download_discourse_step.ps1)
Discourse,2024-06-25,creocone.stp,Why are fillets so bad (Creo cone),https://discourse.mcneel.com/t/why-are-fillets-so-bad/184006,,Pending (run download_discourse_step.ps1)
Discourse,2024-06-14,1.stp,Rhino STEP export refuses to keep surface count in other CAD packages,https://discourse.mcneel.com/t/rhino-step-export-refuses-to-keep-surface-count-in-other-cad-packages/184553,,Pending (run download_discourse_step.ps1)
Discourse,2024-06-13,radius.stp,Why are fillets so bad,https://discourse.mcneel.com/t/why-are-fillets-so-bad/184006,,Pending (run download_discourse_step.ps1)
Discourse,2024-06-10,model2.stp,PushPull command does not work properly,https://discourse.mcneel.com/t/the-pushpull-command-does-not-work-properly/162592,,Pending (run download_discourse_step.ps1)
Discourse,2024-06-10,model1.stp,PushPull command does not work properly,https://discourse.mcneel.com/t/the-pushpull-command-does-not-work-properly/162592,,Pending (run download_discourse_step.ps1)
Discourse,2024-06-10,fix_stp_1.stp,PushPull command does not work properly,https://discourse.mcneel.com/t/the-pushpull-command-does-not-work-properly/162592,,Pending (run download_discourse_step.ps1)
Discourse,2024-06-10,test-block.stp,Why are fillets so bad,https://discourse.mcneel.com/t/why-are-fillets-so-bad/184006,,Pending (run download_discourse_step.ps1)
Discourse,2024-06-10,test-block.stp,Fillet fails examples 2023-03 hammering collection,https://discourse.mcneel.com/t/fillet-fails-examples-2023-03-hammering-collection/155236,,Pending (run download_discourse_step.ps1)
Discourse,2024-05-20,240509_eckModul v3.step,What just happened to my Grasshopper,https://discourse.mcneel.com/t/re-what-just-happened-to-my-grasshopper/182304,,Pending (run download_discourse_step.ps1)
Discourse,2024-05-13,Boom_I.stp,Align object to the world plane,https://discourse.mcneel.com/t/align-object-to-the-world-plane/181933,,Pending (run download_discourse_step.ps1)
Discourse,2024-05-02,tube detail revised square edges.STEP,Issues creating closed polysurfaces for 5-axis CNC,https://discourse.mcneel.com/t/issues-with-creating-closed-polysurfaces-for-5-axis-cnc/181289,,Pending (run download_discourse_step.ps1)
Discourse,2024-04-25,WREATH-ELBOW.STP,One-to-one online training request,https://discourse.mcneel.com/t/one-to-one-online-training-free-support/180899,,Pending (run download_discourse_step.ps1)
Discourse,2024-03-27,StepFile.stp,Unable to open any .STP file,https://discourse.mcneel.com/t/unable-to-open-any-stp-file-help/178867,,Pending (run download_discourse_step.ps1)
Discourse,2024-03-06,INNER SIDE RAIL - RH - RH HDPE.stp,Flat perspective question,https://discourse.mcneel.com/t/flat-perspective/177366,,Pending (run download_discourse_step.ps1)
Discourse,2024-02-15,64 Craftsmen Long Gear.STEP,Rhino beginner command assistance,https://discourse.mcneel.com/t/rhino-beginner-command-assistance/175709,,Pending (run download_discourse_step.ps1)
Discourse,2024-02-15,64 Craftsmen Short Gear.STEP,Rhino beginner command assistance,https://discourse.mcneel.com/t/rhino-beginner-command-assistance/175709,,Pending (run download_discourse_step.ps1)
Discourse,2024-01-20,AssemblyCAD.STEP,Layer problem with inserted .obj files,https://discourse.mcneel.com/t/layer-problem-with-inserted-obj-files/173787,,Pending (run download_discourse_step.ps1)
Discourse,2024-01-18,AssemblyCAD_02.STEP,Problem with grid on top of objects in ghosted mode,https://discourse.mcneel.com/t/problem-with-grid-on-top-of-objects-in-ghosted-mode/173608,,Pending (run download_discourse_step.ps1)
Discourse,2024-01-17,YELLOW STEP.step,Molding cast,https://discourse.mcneel.com/t/molding-cast/173537,,Pending (run download_discourse_step.ps1)
Discourse,2024-01-02,cube (1).stp,Loose fit BoundingBox,https://discourse.mcneel.com/t/loose-fit-boundingbox/172516,,Pending (run download_discourse_step.ps1)
Discourse,2023-12-12,fusion.step,Boolean difference Breps,https://discourse.mcneel.com/t/boolean-difference-breps/171345,,Pending (run download_discourse_step.ps1)
Discourse,2023-12-08,interlattice v1.step,Cannot solid union pipes,https://discourse.mcneel.com/t/cannot-solid-union-pipes/170943,,Pending (run download_discourse_step.ps1)
Discourse,2023-12-07,F97578D277B4BDD3C6DA992642F33E1001DC868F_fixed.stp,STP file import (fixed sample),https://discourse.mcneel.com/t/stp-file-import/170909,,Pending (run download_discourse_step.ps1)
Discourse,2023-12-07,26121fe6-d8f4-387b-8233-a3ece086a346_fixed.stp,STP file import (fixed sample),https://discourse.mcneel.com/t/stp-file-import/170909,,Pending (run download_discourse_step.ps1)
Discourse,2023-12-07,26121fe6-d8f4-387b-8233-a3ece086a346.stp,STP file import,https://discourse.mcneel.com/t/stp-file-import/170909,,Pending (run download_discourse_step.ps1)
Discourse,2023-12-07,F97578D277B4BDD3C6DA992642F33E1001DC868F.stp,STP file import,https://discourse.mcneel.com/t/stp-file-import/170909,,Pending (run download_discourse_step.ps1)
Discourse,2023-11-16,water tap.stp,Water tap surfacing challenge (topic ID redacted),https://discourse.mcneel.com/t/water-tap-italian-design-surfacing-challenge,,Pending (run download_discourse_step.ps1)
Discourse,2023-11-14,2 SolidsFixed.stp,STEP export bug with mirrored solid (topic ID redacted),https://discourse.mcneel.com/t/step-export-bug-with-mirrored-solid,,Pending (run download_discourse_step.ps1)
Discourse,2023-11-08,The King's Castle.STEP,Copy color from wireframe/shaded to render mode (topic ID redacted),https://discourse.mcneel.com/t/how-to-copy-color-from-wireframe-shaded-mode-to-render-mode,,Pending (run download_discourse_step.ps1)
Discourse,2023-11-02,Fillets are easy in Rhino.stp,What method achieves rounded corners with FilletSrf,https://discourse.mcneel.com/t/what-method-achieves-rounded-type-corners-with-filletsrf/167820,,Pending (run download_discourse_step.ps1)
Discourse,2023-11-02,Test.stp,Reading curvature analysis and eliminating inconsistencies (topic ID redacted),https://discourse.mcneel.com/t/reading-curvature-analysis-and-eliminating-any-inconsistencies,,Pending (run download_discourse_step.ps1)
Discourse,2023-10-31,2 Solids.stp,STEP export bug with mirrored solid (topic ID redacted),https://discourse.mcneel.com/t/step-export-bug-with-mirrored-solid,,Pending (run download_discourse_step.ps1)
YouTrack,2026-09-01,STEP file (attachment),Export user text to STEP as metadata (feature; needs testing),https://mcneel.myjetbrains.com/youtrack/issue/RH-98266,,
YouTrack,2025-12-18,STEP file (attachment),STEP export then import shifts surface control points (SubD-to-Brep) causing open edges; clean in Fusion,https://mcneel.myjetbrains.com/youtrack/issue/RH-91147,,
YouTrack,2025-01-02,STEP file (attachment),Import STEP file generates open surfaces after ExplodeBlock (R8 vs R7),https://mcneel.myjetbrains.com/youtrack/issue/RH-85361,,
